148,1 2 Oct 2020 Sam Fellows Lake Yosemite Co. Park ,Spizella breweri 
149,1 29 Sep 2020 Dale Swanberg Lake Yosemite ,Passerella iliaca 
150,2 26 Sep 2020 Sam Fellows Merced NWR ,Tringa flavipes 
151,1 25 Sep 2020 Sam Fellows UC Merced--campus ,Chordeiles acutipennis 
152,1 25 Sep 2020 Sam Fellows UC Merced--campus ,Butorides virescens 
153,10 25 Sep 2020 Garry Hayes Merced NWR--Auto Loop ,Numenius americanus 
154,1 25 Sep 2020 Sam Fellows Lake Yosemite Co. Park ,Haliaeetus leucocephalus 
155,1 25 Sep 2020 Sam Fellows Lake Yosemite Co. Park ,Empidonax traillii 
156,1 25 Sep 2020 Sam Fellows Lake Yosemite Co. Park ,Setophaga occidentalis 
157,1 24 Sep 2020 Nina Jones E Sandy Mush Rd ,Athene cunicularia 
158,1 23 Sep 2020 Sam Fellows UC Merced--campus ,Archilochus alexandri 
159,1 23 Sep 2020 Sam Fellows UC Merced--campus ,Leiothlypis ruficapilla 
160,1 22 Sep 2020 Dale Swanberg San Luis Reservoir SRA--Basalt Campground ,Vireo cassinii 
161,3 22 Sep 2020 Dale Swanberg San Luis Reservoir SRA--Basalt Campground ,Piranga ludoviciana 
162,2 22 Sep 2020 Dale Swanberg San Luis Reservoir SRA--Fisherman's Pt. ,Podiceps auritus 
163,2 21 Sep 2020 Pete Dunten O'Neill Forebay Wildlife Area ,Vireo gilvus 
164,3 21 Sep 2020 Pete Dunten O'Neill Forebay Wildlife Area ,Geothlypis tolmiei 
165,2 21 Sep 2020 Pete Dunten O'Neill Forebay Wildlife Area ,Setophaga townsendi 
166,1 20 Sep 2020 Janet Tashjian Hanson San Luis NWR--Waterfowl Tour Route ,Hydroprogne caspia 
167,1 20 Sep 2020 Adam Romswinckel-Guise Merced NWR--Auto Loop ,Pheucticus melanocephalus 
168,X 16 Sep 2020 D Krajnovich Lake Yosemite Co. Park ,Contopus sordidulus 
