name 	 ottid 	 sources 	 node_id 	 notes
Heterogynaidae	629608	ncbi:330848,gbif:7910,irmng:118112	ott629608	
Clariaidae	2942336	gbif:3881,irmng:108311	ott2942336	
Riellaceae	440063	ncbi:74541,gbif:6104,irmng:114647	ott440063	
Cephalolobidae	4923862	worms:562768,gbif:7551032,irmng:117074	ott4923862	
Coniophoraceae	404713	if:80632,ncbi:80634,gbif:8449,irmng:110504	mrcaott109ott9895	Maps to same node as: Coniophoraceae - Lachnocladiaceae - Peniophoraceae - Atheliaceae
Nabidae	647444	ncbi:57993,worms:990793,gbif:7891,irmng:102096	ott647444	
Chrysotilaceae	4023599	worms:238354,gbif:4267715,irmng:121789	ott4023599	
Cheirogaleidae	885700	ncbi:30615,gbif:9419,irmng:104272	ott885700	
Ocoidae	442807	ncbi:240530,irmng:118672	ott442807	
Opisidae	4674857	worms:176953,ncbi:1732370,gbif:8007,irmng:106569	ott4674857	
Diprionidae	596808	ncbi:52632,gbif:7907,irmng:104275	ott596808	
Myriniaceae	571423	ncbi:114970,gbif:4654,irmng:113552	ott571423	
Oxyameridae	3532101	gbif:3631,irmng:118040	ott3532101	
Pagurapseudidae	208876	worms:246700,ncbi:992992,gbif:8916,irmng:109901	ott208876	
Bryidae	620613	ncbi:114658,worms:147482	mrcaott1066ott1769	Maps to same node as: Bryidae - Bartramiaceae - Hedwigiaceae
Austroperlidae	555323	ncbi:143689,gbif:9385,irmng:109762	ott555323	
Coloburiscidae	613632	ncbi:241029,gbif:2794,irmng:105420	ott613632	
Pleomothridae	5703108	worms:740645,gbif:7929652	ott5703108	
Mimosellidae	166334	ncbi:991066,worms:110793,gbif:3499,irmng:108256	ott166334	
Stephanoberycidae	944688	ncbi:473342,worms:125600,gbif:2228,irmng:111422	ott944688	
Centropomidae	384676	ncbi:8184,worms:151431,worms:267025,gbif:4256,gbif:4281,irmng:105117,irmng:113820	ott384676	
Haplomunnidae	858963	worms:118253,ncbi:263178,gbif:8885,irmng:108413	ott858963	
Mytilinidiaceae	898961	if:81049,ncbi:281242,gbif:4821,irmng:107364	ott898961	
Plesiastreidae	7994438	ncbi:2653792,gbif:9264407	ott7994438	
Pythonasteridae	59937	ncbi:358397	ott59937	
Clistosaccidae	40996	ncbi:319671,worms:134760,gbif:8925,irmng:109287	ott40996	
Lactobacillaceae	445856	silva:D16548/#5,ncbi:33958,worms:567354,gbif:4711,irmng:108712	mrcaott4345ott8579	
Timmiaceae	671415	ncbi:65547,gbif:4631,irmng:113167	ott671415	
Curtisiaceae	162557	ncbi:42220,gbif:3231441,irmng:119328	ott162557	
Methanomicrobiaceae	44054	silva:M59129/#5,ncbi:2194,worms:416257,gbif:7789,irmng:105485	ott44054	
Alloioscarabaeidae	6230366	gbif:8522842	ott6230366	
Forskaliidae	431613	worms:135347,ncbi:42761,gbif:8195,irmng:109273	ott431613	
Trogidae	738377	ncbi:110048,gbif:5839,irmng:103138	ott738377	
Corsiaceae	567688	ncbi:147240,gbif:3735,irmng:113157	ott567688	
Gastromyxidae	5975370	ncbi:1737504	ott5975370	
Vochysiaceae	217542	ncbi:27223,worms:414923,gbif:3231623,irmng:114402	ott217542	
Capitellidae	966425	ncbi:51292,worms:921,gbif:5752,irmng:108989	ott966425	
Omentolaelapidae	4703330	gbif:4663757,irmng:108730	ott4703330	
Pyxillaceae	4025200	worms:163376,gbif:8295764,irmng:116585	ott4025200	
Borsoniidae	7496167	worms:153870,gbif:6104315,irmng:119790	ott7496167	
Venturiaceae	581435	if:81516,ncbi:5023,worms:147606,gbif:8317,irmng:110904	mrcaott1724ott13442	
Barbouriidae	808868	worms:240699,ncbi:903867,gbif:3254105,irmng:107375	ott808868	
Lironobidae	7494789	worms:877986,gbif:9202200	ott7494789	
Caprifoliaceae	69534	ncbi:4200,gbif:6710,irmng:119583	ott69534	
Hydnaceae	160852	if:80873,ncbi:68758,gbif:8460,irmng:110273	ott160852	
