name, ottid, sources, flags
Photinaidae, 7901792, gbif:9718604, inconsistent,barren
Gastrioceratidae, 2869213, gbif:4623803,irmng:113874, sibling_higher,extinct
Eucomonymphidae, 4024248, gbif:4904547,irmng:114819, barren
Holomastigotoididae, 541189, ncbi:104084,gbif:3237341,gbif:4900635,gbif:4900639,irmng:112982,irmng:115229,irmng:115001, sibling_higher,inconsistent,barren
Palmatolepididae, 7667805, gbif:9343387, major_rank_conflict,extinct
Mesochiridae, 6185152, gbif:8645430, sibling_higher,extinct,barren
Tournayellinidae, 8016187, gbif:9779162, incertae_sedis_inherited,major_rank_conflict,merged,extinct_inherited,barren
Perlapsocidae, 5019416, gbif:4383626,irmng:120358, sibling_higher,extinct
Amusiidae, 6337737, gbif:8601172, major_rank_conflict,extinct,barren
Cardinalidae, 5860997, worms:414777,gbif:9285,irmng:117489, merged,barren
Phaeomyiidae, 4523201, gbif:5582,irmng:104798, merged,barren
Amgaspididae, 4705498, gbif:4637014,irmng:117054, sibling_higher,extinct
Thalassiosiraceae, 422796, ncbi:29202,worms:148904,gbif:7704294,irmng:104227, sibling_higher,inconsistent,barren
Embolasteridae, 3657718, gbif:4975944, major_rank_conflict
Scytalopodidae, 3599717, gbif:4845874,irmng:115999, sibling_higher,barren
Zorzinichthyidae, 3639880, gbif:4840472,irmng:119420, sibling_higher,extinct
Volborthellidae, 4721969, gbif:4579445,irmng:101381, major_rank_conflict,extinct,barren
Anahamulinidae, 7940735, gbif:9394430, major_rank_conflict,barren
Sorogenidae, 9196, ncbi:459516,gbif:7864978,irmng:115225, sibling_higher,merged,barren
Zhejiangellidae, 4969610, gbif:7014067,irmng:120279, sibling_higher,extinct,barren
Anacalliacidae, 4669316, gbif:4647335,irmng:111931, sibling_higher,barren
Trigonomartidae, 4697736, gbif:4665676,irmng:119569, major_rank_conflict,extinct
Rhinosporidiidae, 7646550, gbif:9596846, inconsistent,barren
Ammodochiaceae, 4801765, worms:599641,gbif:6319, incertae_sedis_inherited,unplaced_inherited,extinct_inherited
Pseudorthonychiidae, 2916029, worms:833845,gbif:4616013,irmng:117474, extinct
Trimeridianellidae, 8032172, gbif:9302438, major_rank_conflict,barren
Wetlugasauridae, 3620987, gbif:4815918,irmng:101962, major_rank_conflict,extinct,barren
Aenigmoconchidae, 5681075, worms:833282,gbif:7352684, sibling_higher,extinct,barren
Lithellidae, 4801775, gbif:6123511, major_rank_conflict,barren
Spireitlinidae, 8021049, gbif:9788537, major_rank_conflict,inconsistent,extinct_inherited,barren
Kepingophyllidae, 6371499, gbif:8601858, major_rank_conflict,extinct
Aequoureidae, 4713072, gbif:4878046,irmng:118057, sibling_higher,barren
Cylindrodesmidae, 7692077, gbif:9601185, sibling_higher,barren
Scaphiopodidae, 3620440, gbif:3098,irmng:107611, merged,barren
Triplopidae, 7657275, gbif:4940719, major_rank_conflict,extinct,barren
Etayoidae, 4145341, gbif:6142016, major_rank_conflict,extinct,barren
Horiopleuridae, 6340106, gbif:8683782, major_rank_conflict,extinct,barren
Triplosobidae, 4663988, gbif:4682973,irmng:101689, sibling_higher,extinct
Alabidae, 7653579, gbif:9253567, major_rank_conflict,extinct,barren
Beneckeiidae, 2871512, gbif:4622927,irmng:112927, sibling_higher,extinct,barren
Tetracameridae, 2931975, gbif:4864709,irmng:103703, sibling_higher,extinct
Itemiridae, 4141594, gbif:4967008, sibling_higher,extinct,barren
Eupsammiidae, 3677223, gbif:4880772,irmng:115546, sibling_higher,barren
Helobrachiidae, 2843656, gbif:4581336,irmng:111962, sibling_higher,extinct,barren
Polyblepharidaceae, 4736157, worms:162924,gbif:5427,irmng:105024, sibling_higher,merged,barren
Parkinsoniidae, 4955448, gbif:3245851,irmng:100777, sibling_higher,extinct
Glassiidae, 2933742, gbif:4864818,irmng:101866, extinct
Pseudoclitocybaceae, 7523909, ncbi:2219231, inconsistent,barren
Siphonognathidae, 7653823, gbif:9255761, major_rank_conflict,extinct,barren
Diplonemidae, 5156995, ncbi:2603949,gbif:3235450,irmng:114506, merged,barren
Gyrotropidae, 6361394, gbif:8447325, major_rank_conflict,extinct,barren
Timorphyllidae, 4716957, gbif:4878755,irmng:102500, major_rank_conflict,extinct
Tintinnididae, 4031265, gbif:6123730, merged,barren
Idiostromatidae, 2843590, gbif:4980107,irmng:119719, major_rank_conflict,extinct
Bolbomyiidae, 4449402, gbif:5979625, merged,barren
Argyrocetidae, 7647160, gbif:4941948, major_rank_conflict,extinct,barren
Megazostrodontidae, 3616735, gbif:4826647,irmng:102913, major_rank_conflict,extinct
Nannizziopsiaceae, 5220974, ncbi:1368691,gbif:9735093, inconsistent,barren
Cornirostridae, 795774, worms:23011,ncbi:69565,gbif:2702,irmng:106714, incertae_sedis_inherited
Hypsomyoniidae, 4971121, gbif:7014125,irmng:101872, extinct,barren
Rhachiosteidae, 7668114, gbif:9758381, major_rank_conflict,extinct,barren
Ascocystitidae, 3658878, gbif:4872646,irmng:101932, sibling_higher,extinct,barren
Utschamiellidae, 5681092, worms:833246,gbif:8315383, extinct,barren
Necrosauridae, 4125957, gbif:4821286,irmng:119323, extinct
Coelonellidae, 6191035, gbif:8697372, sibling_higher,merged,extinct_inherited,barren
Disciniidae, 7919093, gbif:9167906, sibling_higher,extinct,barren
Sphaeronitidae, 4951001, gbif:3250099,irmng:111993, major_rank_conflict,extinct
Rhodomelaceae, 674033, ncbi:2803,worms:143674,gbif:4895,irmng:107459, sibling_higher,merged,barren
Heteropyxidaceae, 133738, ncbi:40013, barren
Albaillellidae, 4020716, gbif:8175673,irmng:111947, major_rank_conflict,extinct
Mayaitidae, 6348341, gbif:7733365, major_rank_conflict,barren
Gloeodiniaceae, 684957, ncbi:27938,worms:146251,gbif:8412201,irmng:107443, sibling_higher,barren
Miolaniidae, 6156306, gbif:8459776, sibling_higher,extinct
Krokolithidae, 6149272, gbif:4940714, 
Tricornidae, 5324563, worms:715797,gbif:7622808,irmng:121631, sibling_higher,extinct
Komaspididae, 5130830, gbif:3266922,irmng:117050, extinct,barren
Rhabdopleuritidae, 3660212, worms:579888,gbif:6487372,irmng:121634, sibling_higher,extinct
Proterochersidae, 3606611, gbif:4818975,irmng:104310, sibling_higher,extinct
Plethodidae, 4140622, gbif:4838325,irmng:101530, major_rank_conflict,extinct
Teudopsidae, 7942190, gbif:9390969, major_rank_conflict,extinct,barren
Sphaerocoeliidae, 2842502, gbif:4581526,irmng:103606, major_rank_conflict,extinct
Lyrodesmatidae, 4968671, worms:833208,gbif:3247853,irmng:100859, sibling_higher,extinct
Pseudorotasphaeridae, 4021374, gbif:7541332,irmng:117473, major_rank_conflict,extinct
Megalapterygidae, 7663405, gbif:9808332, major_rank_conflict,merged,extinct,barren
Temnotropidae, 2919313, worms:833762,gbif:4606664,irmng:101038, extinct
Nothoceratidae, 2868998, gbif:4625849,irmng:113292, sibling_higher,extinct
Buchneriidae, 4953360, gbif:3268012,irmng:109061, sibling_higher,barren
Neridomidae, 6364169, worms:865729,gbif:7832306, extinct
Simoliopheidae, 4125822, gbif:4968188, extinct,barren
Macropathidae, 4187930, gbif:4711193,irmng:110106, sibling_higher,barren
Coprinisphaeridae, 5089187, gbif:6880498,irmng:119958, sibling_higher,extinct
Phorusrhacidae, 3600059, gbif:4852146,irmng:118423, sibling_higher,extinct
Spalangidae, 6287753, gbif:8382307, sibling_higher,barren
Tornatilicrinidae, 3648357, gbif:4873769,irmng:101986, major_rank_conflict,extinct,barren
Botrychiaceae, 3866638, gbif:3229383,irmng:105360, barren
Orbulinidae, 6373150, gbif:8098856, major_rank_conflict,barren
Montezumellidae, 7694991, gbif:9540869, sibling_higher,barren
Eosetidae, 4326706, gbif:4705133,irmng:106274, sibling_higher,barren
Galeidae, 7667416, gbif:9568133, major_rank_conflict,extinct
Kionoceratidae, 6347818, gbif:8480462, major_rank_conflict,extinct,barren
Pugnacidae, 2931894, gbif:4866144,irmng:100045, sibling_higher,extinct
Dictyochaceae, 2821753, worms:157257,gbif:7134,irmng:100970, sibling_higher,inconsistent,barren
Rhodymeniaceae, 1007421, ncbi:31501,worms:143776,gbif:4951,irmng:108826, sibling_higher,merged,barren
Melampittidae, 7660680, gbif:9215437, sibling_higher,barren
Bolcabalistidae, 6140579, gbif:7657520, sibling_higher
Trachyleheridae, 2964975, gbif:6127509, sibling_higher,barren
Spilapteridae, 5089354, gbif:3265015,irmng:111953, sibling_higher,extinct
Protosuchidae, 4947994, gbif:3238598,irmng:115251, extinct
Psuedorthoceratidae, 2869548, gbif:4621921,irmng:100778, major_rank_conflict,extinct
Scaphocoridae, 4664702, gbif:4770342,irmng:101147, sibling_higher,extinct
Galechiridae, 4128144, gbif:4817865,irmng:117509, unplaced,major_rank_conflict,extinct
Theridomyidae, 4941120, gbif:3240617,irmng:104593, sibling_higher,extinct
Bredocarididae, 4705039, gbif:4650262,irmng:102949, major_rank_conflict,hidden_inherited,extinct,barren
Slavidae, 4968311, worms:833101,gbif:3247466,irmng:113371, extinct,barren
Donacosmiliidae, 4715479, gbif:4880337,irmng:102136, sibling_higher,extinct
Eucaenidae, 4664451, gbif:4683068,irmng:102016, extinct
Eutrachytheridae, 6143412, gbif:8680742, major_rank_conflict,extinct,barren
Carangodidae, 7650342, gbif:9399046, sibling_higher,extinct
